epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
82,307.81,0.53684,0.69024,0.36192,0.84631,0,0.99826,0.98947,0.98813,0.91225,0.99826,0.98947,0.98813,0.87943,0.40418,0.45454,0.28684,0.83403,0,0.0003962,0.0003962,0.0003962
83,311.816,0.51856,0.70988,0.35264,0.83863,0,0.99925,0.98947,0.98899,0.91286,0.99925,0.98947,0.98899,0.89812,0.41774,0.45933,0.29329,0.83291,0,0.0003764,0.0003764,0.0003764
84,315.637,0.54073,0.71614,0.35425,0.8384,0,0.99918,0.98947,0.98931,0.92064,0.99918,0.98947,0.98931,0.90071,0.39518,0.45102,0.28716,0.83092,0,0.0003566,0.0003566,0.0003566
85,319.52,0.539,0.69562,0.3561,0.83522,0,0.99896,0.98947,0.98869,0.92156,0.99896,0.98947,0.98869,0.88663,0.399,0.45459,0.29305,0.83302,0,0.0003368,0.0003368,0.0003368
86,323.534,0.52557,0.6607,0.35077,0.83192,0,0.99846,0.98947,0.98788,0.92429,0.99846,0.98947,0.98788,0.89433,0.38645,0.4505,0.29495,0.82652,0,0.000317,0.000317,0.000317
87,327.931,0.49979,0.6572,0.33678,0.83332,0,0.99874,0.98947,0.98773,0.92827,0.99874,0.98947,0.98773,0.8844,0.3872,0.44192,0.29522,0.8257,0,0.0002972,0.0002972,0.0002972
88,332.23,0.49636,0.65333,0.33814,0.83619,0,0.99865,0.98947,0.98711,0.92814,0.99865,0.98947,0.98711,0.88322,0.39235,0.44255,0.30414,0.82802,0,0.0002774,0.0002774,0.0002774
89,336.458,0.51454,0.68562,0.34,0.83912,0,0.99744,0.98947,0.98687,0.92088,0.99744,0.98947,0.98687,0.88555,0.39042,0.43684,0.29655,0.82817,0,0.0002576,0.0002576,0.0002576
90,340.54,0.50997,0.64511,0.34505,0.84304,0,0.99711,0.98947,0.98714,0.92503,0.99711,0.98947,0.98714,0.88364,0.39522,0.45745,0.28944,0.82845,0,0.0002378,0.0002378,0.0002378
91,390.78,0.47463,0.64642,0.32907,0.81902,0,0.99847,0.98947,0.98745,0.9234,0.99847,0.98947,0.98745,0.87044,0.40359,0.46524,0.2913,0.82484,0,0.000218,0.000218,0.000218
92,393.42,0.46496,0.6351,0.32381,0.81244,0,0.99874,0.98947,0.98733,0.92833,0.99874,0.98947,0.98733,0.88232,0.38147,0.47154,0.2835,0.82232,0,0.0001982,0.0001982,0.0001982
93,395.977,0.46133,0.61799,0.32078,0.82729,0,0.99878,0.98947,0.98752,0.93103,0.99878,0.98947,0.98752,0.89296,0.37837,0.46115,0.28093,0.82267,0,0.0001784,0.0001784,0.0001784
94,398.651,0.44806,0.60449,0.3123,0.81663,0,0.99874,0.98947,0.98765,0.93339,0.99874,0.98947,0.98765,0.89791,0.38702,0.44654,0.27598,0.82759,0,0.0001586,0.0001586,0.0001586
95,401.261,0.44953,0.60907,0.31779,0.81982,0,0.99874,0.98947,0.98777,0.92376,0.99874,0.98947,0.98777,0.88802,0.39405,0.44145,0.27331,0.82901,0,0.0001388,0.0001388,0.0001388
96,405.015,0.43762,0.61538,0.31155,0.80727,0,0.99888,0.98947,0.98791,0.92745,0.99888,0.98947,0.98791,0.89835,0.37894,0.43729,0.2713,0.82558,0,0.000119,0.000119,0.000119
97,409.76,0.45725,0.62848,0.32018,0.81407,0,0.99885,0.98947,0.98791,0.92895,0.99885,0.98947,0.98791,0.89959,0.37383,0.43679,0.27154,0.8255,0,9.92e-05,9.92e-05,9.92e-05
98,414.071,0.43203,0.58324,0.31193,0.80521,0,0.99867,0.98947,0.98796,0.93471,0.99867,0.98947,0.98796,0.89659,0.36978,0.44093,0.27057,0.82466,0,7.94e-05,7.94e-05,7.94e-05
99,417.808,0.42664,0.59157,0.30616,0.80683,0,0.99862,0.98947,0.98797,0.93619,0.99862,0.98947,0.98797,0.8904,0.37125,0.44385,0.26628,0.82411,0,5.96e-05,5.96e-05,5.96e-05
100,421.473,0.42176,0.60116,0.30149,0.80211,0,0.99864,0.98947,0.98797,0.93358,0.99864,0.98947,0.98797,0.88943,0.37119,0.44144,0.26513,0.82372,0,3.98e-05,3.98e-05,3.98e-05
